name,population
"Pike County, Kentucky",58669
"Newton County, Missouri",58648
"Carson City, Nevada",58639
"Huron County, Ohio",58565
"Pickaway County, Ohio",58539
"Pike County, Pennsylvania",58535
"Otsego County, New York",58524
"Columbia County, Wisconsin",58490
"Genesee County, New York",58388
"Lawrence County, Ohio",58240
"Anderson County, Texas",57922
"Coffee County, Tennessee",57889
"Maverick County, Texas",57887
"Oxford County, Maine",57777
"Windsor County, Vermont",57753
"Jefferson County, West Virginia",57701
"Box Elder County, Utah",57666
"Acadia Parish, Louisiana",57576
"Gordon County, Georgia",57544
"Putnam County, West Virginia",57440
"Vermilion Parish, Louisiana",57359
"Iron County, Utah",57289
"Colbert County, Alabama",57227
"Scott County, Kentucky",57155
"Waller County, Texas",56794
"Hawkins County, Tennessee",56721
"Chisago County, Minnesota",56621
"Carter County, Tennessee",56356
"Hardin County, Texas",56231
"Cherokee County, South Carolina",56216
"Marion County, West Virginia",56205
"Pearl River County, Mississippi",56145
"Taney County, Missouri",56066
"Lafayette County, Mississippi",55813
"Eagle County, Colorado",55731
"Campbell County, Virginia",55696
"Whiteside County, Illinois",55691
"La Plata County, Colorado",55638
"Tuolumne County, California",55620
"Hancock County, Maine",55478
"Lenoir County, North Carolina",55122
"Aguadilla Municipio, Puerto Rico",55101
"Seneca County, Ohio",55069
"Loudon County, Tennessee",54886
"Grady County, Oklahoma",54795
"Camden County, Georgia",54768
"Jefferson County, Tennessee",54683
"Franklin County, Virginia",54477
"Vega Baja Municipio, Puerto Rico",54414
"Dickson County, Tennessee",54315
"Saline County, Kansas",54303
"Watauga County, North Carolina",54086
"Johnson County, Missouri",54013
"Pulaski County, Missouri",53955
"Washington County, Virginia",53935
"Elko County, Nevada",53702
"Coffee County, Alabama",53465
"Boone County, Illinois",53448
"Roane County, Tennessee",53404
"Fulton County, New York",53324
"Tuscola County, Michigan",53323
"McMinn County, Tennessee",53276
"Gila County, Arizona",53272
"Jessamine County, Kentucky",52991
"Jackson County, Illinois",52974
"Madison County, Idaho",52913
"Navarro County, Texas",52624
"Kerr County, Texas",52598
"Columbia County, Oregon",52589
"Jackson County, Alabama",52579
"Culpeper County, Virginia",52552
"St. Charles Parish, Louisiana",52549
"Grundy County, Illinois",52533
"Worcester County, Maryland",52460
"Washington County, Oklahoma",52455
"Ashland County, Ohio",52447
"Calumet County, Wisconsin",52442
"Warren County, Iowa",52403
"Rusk County, Texas",52214
"Hoke County, North Carolina",52082
"Grant County, Wisconsin",51938
"Darke County, Ohio",51881
"Harrisonburg city, Virginia",51814
"Waupaca County, Wisconsin",51812
"Ogle County, Illinois",51788
"Oktibbeha County, Mississippi",51788
"St. Martin Parish, Louisiana",51767
"Nye County, Nevada",51591
"Cass County, Michigan",51589
"Franklin County, Kentucky",51541
"Wayne County, Pennsylvania",51155
"Henry County, Virginia",50948
"Humacao Municipio, Puerto Rico",50896
"Bristol County, Rhode Island",50793
"Medina County, Texas",50748
"Dearborn County, Indiana",50679
"Columbus County, North Carolina",50623
"Somerset County, Maine",50477
"Venango County, Pennsylvania",50454
"Gibson County, Tennessee",50429
"Cherokee County, Texas",50412
"Lincoln County, Oregon",50395
"Bedford County, Tennessee",50237
"Polk County, Texas",50123
"Carroll County, New Hampshire",50107
"Lamar County, Texas",50088
"Buffalo County, Nebraska",50084
"Newaygo County, Michigan",49978
"Knox County, Illinois",49967
"Franklin County, Vermont",49946
"Queen Anne's County, Maryland",49874
"Wilson County, Texas",49753
"Winona County, Minnesota",49671
"Laurens County, Georgia",49570
"Logan County, Oklahoma",49555
"Montgomery County, New York",49532
"Douglas County, Nevada",49488
"St. Mary Parish, Louisiana",49406
"Dale County, Alabama",49326
"Henry County, Illinois",49284
"Burnet County, Texas",49130
"Atascosa County, Texas",48981
"Fremont County, Colorado",48939
"Henry County, Indiana",48914
"Edgecombe County, North Carolina",48900
"Vernon Parish, Louisiana",48750
"Duplin County, North Carolina",48715
"Halifax County, North Carolina",48622
"Tioga County, New York",48455
"Curry County, New Mexico",48430
"Lincoln Parish, Louisiana",48396
"Boyd County, Kentucky",48261
"Shelby County, Ohio",48230
"Crittenden County, Arkansas",48163
"Le Flore County, Oklahoma",48129
"Shelby County, Kentucky",48065
"Carter County, Oklahoma",48003
"Bingham County, Idaho",47992
"Whitman County, Washington",47973
"Greene County, New York",47931
"Santa Cruz County, Arizona",47669
"Val Verde County, Texas",47586
"Goodhue County, Minnesota",47582
"Bedford County, Pennsylvania",47577
"Franklin County, New York",47555
"Noble County, Indiana",47457
"Jackson County, Florida",47319
"Chenango County, New York",47220
"Cabo Rojo Municipio, Puerto Rico",47158
"Bonner County, Idaho",47110
"Cherokee County, Oklahoma",47078
"Río Grande Municipio, Puerto Rico",47060
"Campbell County, Wyoming",47026
"Coles County, Illinois",46863
"Cortland County, New York",46809
"Nelson County, Kentucky",46738
"Barron County, Wisconsin",46711
"Chambers County, Texas",46571
"Charlottesville city, Virginia",46553
"Juana Díaz Municipio, Puerto Rico",46538
"Clinton County, Iowa",46460
"Allegany County, New York",46456
"Stevens County, Washington",46445
"Jackson County, Indiana",46428
"Auglaize County, Ohio",46422
"Monroe County, Wisconsin",46274
"Monroe County, Tennessee",46250
"Beltrami County, Minnesota",46228
"Logan County, Ohio",46150
"Mifflin County, Pennsylvania",46143
"Marshall County, Indiana",46095
"Bryan County, Oklahoma",46067
"Hancock County, Mississippi",46053
"Habersham County, Georgia",46031
"Windham County, Vermont",45905
"Colquitt County, Georgia",45898
"Caldwell County, Texas",45883
"Perry County, Pennsylvania",45842
"Osage County, Oklahoma",45818
"Thomas County, Georgia",45798
"Hillsdale County, Michigan",45746
"Greene County, Arkansas",45736
"Washington Parish, Louisiana",45463
"Dunn County, Wisconsin",45440
"Hopkins County, Kentucky",45423
"Calaveras County, California",45292
"Shelby County, Indiana",45055
"Chilton County, Alabama",45014
"Itasca County, Minnesota",45014
"Lawrence County, Indiana",45011
"Polk County, Wisconsin",44977
"Macoupin County, Illinois",44967
"Washington County, Mississippi",44922
"Branch County, Michigan",44862
"Wood County, Texas",44843
"Henderson County, Kentucky",44793
"Bryan County, Georgia",44738
"Warren County, Mississippi",44722
"Beaufort County, North Carolina",44652
"Phelps County, Missouri",44638
"Stephenson County, Illinois",44630
"McDowell County, North Carolina",44578
"Stokes County, North Carolina",44520
"Jefferson County, Pennsylvania",44492
"Barren County, Kentucky",44485
"Kittitas County, Washington",44337
"Delaware County, New York",44308
"Douglas County, Wisconsin",44295
"Callaway County, Missouri",44283
"Kendall County, Texas",44279
"Holmes County, Ohio",44223
"Shenandoah County, Virginia",44186
"Ravalli County, Montana",44174
"Lawrence County, Tennessee",44159
"Huntingdon County, Pennsylvania",44092
"Siskiyou County, California",44076
"Gadsden County, Florida",43826
"Madison County, Ohio",43824
"Baldwin County, Georgia",43799
"Pittsburg County, Oklahoma",43773
"St. Bernard Parish, Louisiana",43764
"Kandiyohi County, Minnesota",43732
"Kay County, Oklahoma",43700
"Brown County, Ohio",43676
"Dubois County, Indiana",43637
"Suwannee County, Florida",43474
"Highland County, Ohio",43317
"Chesterfield County, South Carolina",43273
"DeKalb County, Indiana",43265
"Muscatine County, Iowa",43235
"Cerro Gordo County, Iowa",43127
"Jackson County, North Carolina",43109
"Coffee County, Georgia",43092
"Sullivan County, New Hampshire",43063
"Prince George County, Virginia",43010
"Pettis County, Missouri",42980
"Richmond County, North Carolina",42946
"Isabela Municipio, Puerto Rico",42943
"Douglas County, Washington",42938
"Levy County, Florida",42915
"Polk County, Georgia",42853
"Stephens County, Oklahoma",42848
"Franklin County, Tennessee",42774
"Manassas city, Virginia",42772
"Camden County, Missouri",42745
"Fulton County, Ohio",42713
"Davie County, North Carolina",42712
"Union County, Pennsylvania",42681
"Montrose County, Colorado",42679
"Miller County, Arkansas",42600
"Danville city, Virginia",42590
"Vance County, North Carolina",42578
"Erath County, Texas",42545
"Mercer County, Ohio",42528
"St. John the Baptist Parish, Louisiana",42477
"Ohio County, West Virginia",42425
"Summit County, Utah",42357
"Canóvanas Municipio, Puerto Rico",42337
"Sweetwater County, Wyoming",42272
"Pierce County, Wisconsin",42212
"Butler County, Missouri",42130
"Okanogan County, Washington",42104
"Nez Perce County, Idaho",42090
"Crawford County, Ohio",42025
"Clinton County, Ohio",42018
"Fayette County, Tennessee",41990
"Marinette County, Wisconsin",41872
"Oconee County, Georgia",41799
"Gratiot County, Michigan",41761
"Cooke County, Texas",41668
"McClain County, Oklahoma",41662
"Cayey Municipio, Puerto Rico",41652
"Baxter County, Arkansas",41627
"Wharton County, Texas",41570
"Benton County, Minnesota",41379
"Tift County, Georgia",41344
"Tallapoosa County, Alabama",41311
"Isanti County, Minnesota",41135
"Cheatham County, Tennessee",41072
"Clatsop County, Oregon",41072
"Tioga County, Pennsylvania",41045
"Preble County, Ohio",40999
"Warren County, Tennessee",40953
"Williams County, North Dakota",40950
"Upshur County, Texas",40892
"Shawano County, Wisconsin",40881
"Warren County, Virginia",40727
"Mississippi County, Arkansas",40685
"Gurabo Municipio, Puerto Rico",40622
"Sanilac County, Michigan",40611
"Knox County, Maine",40607
"Pasquotank County, North Carolina",40568
"Wyoming County, New York",40531
"Fayette County, West Virginia",40488
"Amador County, California",40474
"LaGrange County, Indiana",40446
"McKean County, Pennsylvania",40432
"Tazewell County, Virginia",40429
"Delaware County, Oklahoma",40397
"Ottawa County, Ohio",40364
"Rio Arriba County, New Mexico",40363
"Orleans County, New York",40343
"Pike County, Mississippi",40324
"Marshall County, Iowa",40105
"Mower County, Minnesota",40029
"Murray County, Georgia",39973
"Cidra Municipio, Puerto Rico",39970
"Howell County, Missouri",39750
"Snyder County, Pennsylvania",39736
"Mecosta County, Michigan",39714
"Avoyelles Parish, Louisiana",39693
"Harrison County, Indiana",39654
"Okeechobee County, Florida",39644
"Hendry County, Florida",39619
"Waldo County, Maine",39607
"Latah County, Idaho",39517
"Manatí Municipio, Puerto Rico",39492
"San Sebastián Municipio, Puerto Rico",39345
"Sequoyah County, Oklahoma",39281
"Campbell County, Tennessee",39272
"Fremont County, Wyoming",39234
"Person County, North Carolina",39097
"Webster County, Missouri",39085
"Union County, Arkansas",39054
"Mayes County, Oklahoma",39046
"Douglas County, Minnesota",39006
"Wayne County, West Virginia",38982
"Crawford County, Kansas",38972
"Oconto County, Wisconsin",38965
"Des Moines County, Iowa",38910
"Jim Wells County, Texas",38891
"Champaign County, Ohio",38714
"Gloucester County, Virginia",38711
"Isle of Wight County, Virginia",38606
"Colleton County, South Carolina",38604
"Warren County, Pennsylvania",38587
"Graham County, Arizona",38533
"Hatillo Municipio, Puerto Rico",38486
"Finney County, Kansas",38470
"Woodford County, Illinois",38467
"Dallas County, Alabama",38462
"Guernsey County, Ohio",38438
"Susquehanna County, Pennsylvania",38434
"Brown County, South Dakota",38301
"Defiance County, Ohio",38286
"Aguada Municipio, Puerto Rico",38136
"Brown County, Texas",38095
"Pontotoc County, Oklahoma",38065
"Scott County, Missouri",38059
"Lawrence County, Missouri",38001
"Independence County, Arkansas",37938
"Montgomery County, Indiana",37936
"Cass County, Indiana",37870
"Oneida County, Wisconsin",37845
"Jasper County, Iowa",37813
"Franklin County, Illinois",37804
"Marion County, Illinois",37729
"Newberry County, South Carolina",37719
"San Lorenzo Municipio, Puerto Rico",37693
"Louisa County, Virginia",37596
"Covington County, Alabama",37570
"Talbot County, Maryland",37526
"Natchitoches Parish, Louisiana",37515
"Moca Municipio, Puerto Rico",37460
"Clinton County, Pennsylvania",37450
"Steele County, Minnesota",37406
"Essex County, New York",37381
"Boone County, Arkansas",37373
"Addison County, Vermont",37363
"Houghton County, Michigan",37361
"Bennington County, Vermont",37347
"Clarion County, Pennsylvania",37241
"Yadkin County, North Carolina",37214
"Dodge County, Nebraska",37167
"Jefferson County, Illinois",37113
"Calloway County, Kentucky",37103
"Williams County, Ohio",37102
"Green County, Wisconsin",37093
"Albany County, Wyoming",37066
"Macon County, North Carolina",37014
"Juncos Municipio, Puerto Rico",37012
"Webster County, Iowa",36999
"Clark County, Kentucky",36972
"Webster Parish, Louisiana",36967
"Dare County, North Carolina",36915
"Delta County, Michigan",36903
"Clinton County, Illinois",36899
"Dyer County, Tennessee",36801
"Hopkins County, Texas",36787
"Chippewa County, Michigan",36785
"McLeod County, Minnesota",36771
"Escambia County, Alabama",36757
"Geary County, Kansas",36739
"Putnam County, Indiana",36726
"Whitley County, Kentucky",36712
"Okmulgee County, Oklahoma",36706
"Sagadahoc County, Maine",36699
"Huntington County, Indiana",36662
"Graves County, Kentucky",36649
"Guayama Municipio, Puerto Rico",36614
"Coshocton County, Ohio",36612
"Beauregard Parish, Louisiana",36549
"Alexander County, North Carolina",36444
"Knox County, Indiana",36282
"Matagorda County, Texas",36255
"Orange County, Virginia",36254
"Ware County, Georgia",36251
"Carlton County, Minnesota",36207
"Wise County, Virginia",36130
"Scotts Bluff County, Nebraska",36084
"Laclede County, Missouri",36039
"Cocke County, Tennessee",35999
"Miami County, Indiana",35962
"Greenup County, Kentucky",35962
"Greene County, Pennsylvania",35954
"Floyd County, Kentucky",35942
"Dorado Municipio, Puerto Rico",35879
"Hill County, Texas",35874
"Sioux County, Iowa",35872
"Livingston County, Illinois",35815
"Adams County, Indiana",35809
"Washington County, Texas",35805
"Fannin County, Texas",35662
"Uintah County, Utah",35620
"Madison County, Nebraska",35585
"Warren County, Missouri",35532
"Wapello County, Iowa",35437
"Perry County, Ohio",35408
"Vega Alta Municipio, Puerto Rico",35395
"Lincoln County, Tennessee",35319
"Lincoln County, Maine",35237
"Becker County, Minnesota",35183
"Las Piedras Municipio, Puerto Rico",35180
"Silver Bow County, Montana",35133
"Monroe County, Illinois",34962
"Morrow County, Ohio",34950
"Lincoln County, Mississippi",34907
"Howard County, Texas",34860
"Wasatch County, Utah",34788
"Chambers County, Alabama",34772
"Alcorn County, Mississippi",34740
"Lincoln County, Nebraska",34676
"Coamo Municipio, Puerto Rico",34668
"Harris County, Georgia",34668
"Effingham County, Illinois",34668
"Clark County, Wisconsin",34659
"Corozal Municipio, Puerto Rico",34571
"Cowley County, Kansas",34549
"Barry County, Missouri",34534
"Taos County, New Mexico",34489
"Nicollet County, Minnesota",34454
"Putnam County, Ohio",34451
"Steuben County, Indiana",34435
"Brookings County, South Dakota",34375
"Marshall County, Tennessee",34318
"Platte County, Nebraska",34296
"Ford County, Kansas",34287
"Preston County, West Virginia",34216
"Whitley County, Indiana",34191
"Miami County, Kansas",34191
"Monroe County, Mississippi",34180
"Scotland County, North Carolina",34174
"Yauco Municipio, Puerto Rico",34172
"Lee County, Illinois",34145
"Emmet County, Michigan",34112
"Christian County, Illinois",34032
"Harvey County, Kansas",34024
"Halifax County, Virginia",34022
"Morrison County, Minnesota",34010
"DeSoto County, Florida",33976
"Seneca County, New York",33814
"Pulaski County, Virginia",33800
"Wakulla County, Florida",33764
"Marshall County, Mississippi",33752
"Wexford County, Michigan",33673
"Stark County, North Dakota",33646
"Fulton County, Illinois",33609
"Botetourt County, Virginia",33596
"Lee County, Iowa",33555
"Lumpkin County, Georgia",33488
"Petersburg city, Virginia",33458
"Lincoln County, Oklahoma",33458
"Marion County, Iowa",33414
"Accomack County, Virginia",33413
"Daviess County, Indiana",33381
"Caroline County, Maryland",33293
"Morton County, North Dakota",33291
"Bureau County, Illinois",33244
"Pickens County, Georgia",33216
"Panola County, Mississippi",33208
"Clinton County, Indiana",33190
"Lee County, Georgia",33163
"Jefferson County, Indiana",33147
"Lawrence County, Alabama",33073
"Hot Spring County, Arkansas",33040
"Gibson County, Indiana",33011
"Pike County, Alabama",33009
"Transylvania County, North Carolina",32986
"Lafayette County, Missouri",32984
"Jasper County, Texas",32980
"Greenbrier County, West Virginia",32977
"Jefferson County, Washington",32977
"Jasper County, Indiana",32918
"Morgan County, Illinois",32915
"Weakley County, Tennessee",32902
"Rhea County, Tennessee",32870
"Camuy Municipio, Puerto Rico",32827
"Lassen County, California",32730
"Jackson County, Ohio",32653
"Logan County, West Virginia",32567
"Dorchester County, Maryland",32531
"Hale County, Texas",32522
"Evangeline Parish, Louisiana",32350
"Chester County, South Carolina",32294
"Juneau City and Borough, Alaska",32255
"Jefferson Davis Parish, Louisiana",32250
"Henry County, Tennessee",32199
"Lyon County, Kansas",32179
"Fajardo Municipio, Puerto Rico",32124
"Franklin County, Alabama",32113
"Claiborne County, Tennessee",32043
"San Germán Municipio, Puerto Rico",31879
"Marshall County, Kentucky",31659
"Malheur County, Oregon",31571
"Polk County, Missouri",31519
"Montgomery County, Kansas",31486
"Huron County, Michigan",31407
"Gilmer County, Georgia",31353
"Amherst County, Virginia",31307
"Coos County, New Hampshire",31268
"Titus County, Texas",31247
"Adams County, Nebraska",31205
"Delta County, Colorado",31196
"Polk County, Minnesota",31192
"Pontotoc County, Mississippi",31184
"Clarendon County, South Carolina",31144
"Lake County, Montana",31134
"Washington County, Maine",31095
"Stone County, Missouri",31076
"Summit County, Colorado",31055
"Bee County, Texas",31047
"Kleberg County, Texas",31040
"Williamsburg County, South Carolina",31026
"Elk County, Pennsylvania",30990
"Bolivar County, Mississippi",30985
"Wabash County, Indiana",30976
"Muhlenberg County, Kentucky",30928
"Sheridan County, Wyoming",30921
"Freeborn County, Minnesota",30895
"Jefferson County, Idaho",30891
"Caroline County, Virginia",30887
"Clare County, Michigan",30856
"McCurtain County, Oklahoma",30814
"Greene County, Indiana",30803
"Obion County, Tennessee",30787
"Trempealeau County, Wisconsin",30760
"Vernon County, Wisconsin",30714
"Hardin County, Ohio",30696
"Boyle County, Kentucky",30614
"Marshall County, West Virginia",30591
"Yabucoa Municipio, Puerto Rico",30426
"Giles County, Tennessee",30346
"Powhatan County, Virginia",30333
"Mecklenburg County, Virginia",30319
"Ottawa County, Oklahoma",30285
"Iberville Parish, Louisiana",30241
"Caledonia County, Vermont",30233
"McPherson County, Kansas",30223
"Knox County, Kentucky",30193
"Austin County, Texas",30167
"Randolph County, Illinois",30163
"Wayne County, Georgia",30144
"Madison County, Georgia",30120
"Cass County, Minnesota",30066
"Door County, Wisconsin",30066
"Meade County, Kentucky",30003
"Haralson County, Georgia",29919
"Meade County, South Dakota",29852
"Smyth County, Virginia",29800
"Schoharie County, New York",29714
"Park County, Wyoming",29624
"Sumter County, Georgia",29616
"Bladen County, North Carolina",29606
"Adams County, Mississippi",29538
"Franklin County, Maine",29456
"Decatur County, Georgia",29367
"Marion County, Alabama",29341
"Orange County, Vermont",29277
"Grimes County, Texas",29268
"Naranjito Municipio, Puerto Rico",29241
"Gallia County, Ohio",29220
"Marion County, South Carolina",29183
"Carroll County, Virginia",29155
"Morgan County, Colorado",29111
"Hancock County, West Virginia",29095
"Neshoba County, Mississippi",29087
"Mason County, Michigan",29052
"Ripley County, Indiana",28995
"Barranquitas Municipio, Puerto Rico",28983
"Fayette County, Ohio",28951
"Ellis County, Kansas",28934
"Van Wert County, Ohio",28931
"Glenn County, California",28917
"Alpena County, Michigan",28907
"Pine County, Minnesota",28876
"Marion County, Tennessee",28837
"Garrett County, Maryland",28806
"Jasper County, South Carolina",28791
"Cherokee County, North Carolina",28774
"Morovis Municipio, Puerto Rico",28727
"Le Sueur County, Minnesota",28674
"Stoddard County, Missouri",28672
"Elmore County, Idaho",28666
"Marion County, Missouri",28525
"Custer County, Oklahoma",28513
"Perry County, Kentucky",28473
"Cass County, Texas",28454
"Carroll County, Tennessee",28440
"Sanpete County, Utah",28437
"Lincoln County, Wisconsin",28415
"Palo Pinto County, Texas",28409
"Copiah County, Mississippi",28368
"Jones County, Georgia",28347
"Leflore County, Mississippi",28339
"Codington County, South Dakota",28325
"Bradford County, Florida",28303
"Dillon County, South Carolina",28292
"Wythe County, Virginia",28290
"Montgomery County, Illinois",28288
"Utuado Municipio, Puerto Rico",28287
"Dunklin County, Missouri",28283
"Carroll County, Arkansas",28260
"Baker County, Florida",28259
"Grant County, New Mexico",28185
"Washington County, Indiana",28182
"Wells County, Indiana",28180
"Winchester city, Virginia",28120
"Montgomery County, Kentucky",28114
"Lares Municipio, Puerto Rico",28105
"Currituck County, North Carolina",28100
"Tate County, Mississippi",28064
"Hocking County, Ohio",28050
"White County, Georgia",28003
"Scott County, Mississippi",27990
"Logan County, Illinois",27987
"Fredericksburg city, Virginia",27982
"Peach County, Georgia",27981
"Monroe County, Georgia",27957
"Dinwiddie County, Virginia",27947
"Randolph County, West Virginia",27932
"Henderson County, Tennessee",27842
"Jackson County, West Virginia",27791
"Union County, Mississippi",27777
"Del Norte County, California",27743
"Upson County, Georgia",27700
"Henry County, Ohio",27662
"Jennings County, Indiana",27613
"Adams County, Ohio",27477
"Logan County, Kentucky",27432
"San Jacinto County, Texas",27402
"Orleans County, Vermont",27393
"Tillamook County, Oregon",27390
"White County, Tennessee",27351
"Fluvanna County, Virginia",27249
"Union County, South Carolina",27244
"McDonough County, Illinois",27238
"San Miguel County, New Mexico",27201
"West Baton Rouge Parish, Louisiana",27199
"Cibola County, New Mexico",27172
"Pike County, Ohio",27088
"Iroquois County, Illinois",27077
"Toombs County, Georgia",27030
"Caddo County, Oklahoma",26945
"Mineral County, West Virginia",26938
"Woodford County, Kentucky",26871
"Hardin County, Tennessee",26831
"Harlan County, Kentucky",26831
"De Soto Parish, Louisiana",26812
"Dawson County, Georgia",26798
"Stephens County, Georgia",26784
"Yazoo County, Mississippi",26743
"Gillespie County, Texas",26725
"King George County, Virginia",26723
"Carroll County, Ohio",26721
"Juneau County, Wisconsin",26718
"Boone County, Iowa",26715
"Wasco County, Oregon",26670
"Marlboro County, South Carolina",26667
"Geneva County, Alabama",26659
"Oceana County, Michigan",26659
"Carter County, Kentucky",26627
"Cass County, Nebraska",26598
"Lewis County, New York",26582
"Ashe County, North Carolina",26577
"Decatur County, Indiana",26472
"Clay County, Indiana",26466
"Mille Lacs County, Minnesota",26459
"Grayson County, Kentucky",26420
"Grady County, Georgia",26236
"Union County, Oregon",26196
"Wyoming County, Pennsylvania",26069
"Elbert County, Colorado",26062
"Charlevoix County, Michigan",26054
"Taylor County, Kentucky",26023
"Franklin County, Kansas",25996
"Sunflower County, Mississippi",25971
"Simpson County, Mississippi",25949
"Dickinson County, Michigan",25947
"Lamoille County, Vermont",25945
"Brown County, Minnesota",25912
"McNairy County, Tennessee",25866
"Montezuma County, Colorado",25849
"Hart County, Georgia",25828
"Salinas Municipio, Puerto Rico",25789
"Russell County, Virginia",25781
"Lawrence County, South Dakota",25768
"Montgomery County, North Carolina",25751
"Staunton city, Virginia",25750
"Johnson County, Arkansas",25749
"Plymouth County, Iowa",25698
"Edgefield County, South Carolina",25657
"Garvin County, Oklahoma",25656
"Morehouse Parish, Louisiana",25629
"Añasco Municipio, Puerto Rico",25596
"Cheboygan County, Michigan",25579
"Benton County, Iowa",25575
"Churchill County, Nevada",25516
"Barton County, Kansas",25493
"Hardeman County, Tennessee",25462
"Mason County, West Virginia",25453
"Butts County, Georgia",25434
"Luna County, New Mexico",25427
"Payette County, Idaho",25386
"Gladwin County, Michigan",25386
"Pottawatomie County, Kansas",25348
"Salem city, Virginia",25346
"Hardee County, Florida",25327
"Fannin County, Georgia",25319
"Washington County, Florida",25318
"Adair County, Missouri",25314
"Lyon County, Minnesota",25269
"Todd County, Minnesota",25262
"Iosco County, Michigan",25237
"Barbour County, Alabama",25223
"Posey County, Indiana",25222
"Macon County, Tennessee",25216
"Lauderdale County, Tennessee",25143
"Otsego County, Michigan",25091
"Manistee County, Michigan",25032
"Prentiss County, Mississippi",25008
"Bremer County, Iowa",24988
"Cherokee County, Alabama",24971
"Chattooga County, Georgia",24965
"Audrain County, Missouri",24962
"Grant County, Kentucky",24941
"Hickman County, Tennessee",24925
"Routt County, Colorado",24829
"Jackson County, Oklahoma",24785
"Yates County, New York",24774
"Milam County, Texas",24754
"Crook County, Oregon",24738
"Goochland County, Virginia",24727
"Miller County, Missouri",24722
"Randolph County, Missouri",24716
"Cleburne County, Arkansas",24711
"Teller County, Colorado",24710
"White County, Indiana",24688
"Rowan County, Kentucky",24662
"Cassia County, Idaho",24655
"Aibonito Municipio, Puerto Rico",24637
"Union County, Georgia",24632
"Somerset County, Maryland",24620
"Nicholas County, West Virginia",24604
"Burke County, Georgia",24596
"Uvalde County, Texas",24564
"Waushara County, Wisconsin",24520
"Randolph County, Indiana",24502
"Jefferson County, Oregon",24502
"Texas County, Missouri",24487
"Marion County, Mississippi",24441
"Fayette County, Texas",24435
"Scott County, Indiana",24384
"George County, Mississippi",24350
"Abbeville County, South Carolina",24295
"Lincoln County, Kentucky",24275
"Blaine County, Idaho",24272
"Jerome County, Idaho",24237
"Aguas Buenas Municipio, Puerto Rico",24223
"Fairfax city, Virginia",24146
"Dawson County, Nebraska",24111
"Bell County, Kentucky",24097
"Shelby County, Texas",24022
"Hood River County, Oregon",23977
"Itawamba County, Mississippi",23863
"Anderson County, Kentucky",23852
"Aransas County, Texas",23830
"Upshur County, West Virginia",23816
"Ohio County, Kentucky",23772
"Saline County, Illinois",23768
"Page County, Virginia",23709
"Iowa County, Wisconsin",23709
"Loíza Municipio, Puerto Rico",23693
"Quebradillas Municipio, Puerto Rico",23638
"Mingo County, West Virginia",23568
"Seminole County, Oklahoma",23556
"Winston County, Alabama",23540
"Grainger County, Tennessee",23527
"Plaquemines Parish, Louisiana",23515
"Washington County, Missouri",23514
"Juniata County, Pennsylvania",23509
"Menominee County, Michigan",23502
"Roscommon County, Michigan",23459
"Curry County, Oregon",23446
"Antrim County, Michigan",23431
"Franklin County, Georgia",23424
"Meeker County, Minnesota",23400
"Fayette County, Indiana",23398
"Naguabo Municipio, Puerto Rico",23386
"Starke County, Indiana",23371
"Pacific County, Washington",23365
"Lajas Municipio, Puerto Rico",23334
"Saline County, Missouri",23333
"Teton County, Wyoming",23331
"Yankton County, South Dakota",23310
"McDonald County, Missouri",23303
"Ray County, Missouri",23158
"Cataño Municipio, Puerto Rico",23155
"Hampshire County, West Virginia",23093
"St. Francis County, Arkansas",23090
"Clarke County, Alabama",23087
"Crawford County, Missouri",23056
"Vilas County, Wisconsin",23047
"Hopewell city, Virginia",23033
"Poinsett County, Arkansas",22965
"New Kent County, Virginia",22945
"Osceola County, Michigan",22891
"Tattnall County, Georgia",22842
"Columbia County, Arkansas",22801
"Franklin County, Indiana",22785
"Emanuel County, Georgia",22768
"Allen Parish, Louisiana",22750
"Caswell County, North Carolina",22736
"Klickitat County, Washington",22735
"Sabana Grande Municipio, Puerto Rico",22729
"Johnson County, Kentucky",22680
"Barceloneta Municipio, Puerto Rico",22657
"Rockbridge County, Virginia",22650
"Ouachita County, Arkansas",22650
"Mercer County, Kentucky",22641
"Washington County, Iowa",22565
"Brooke County, West Virginia",22559
"Overton County, Tennessee",22511
"Panola County, Texas",22491
"Beckham County, Oklahoma",22410
"Sumner County, Kansas",22382
"Leelanau County, Michigan",22301
"Bibb County, Alabama",22293
"Nobles County, Minnesota",22290
"Asotin County, Washington",22285
"Saunders County, Nebraska",22278
"Meigs County, Ohio",22210
"Waynesboro city, Virginia",22196
"Mahaska County, Iowa",22190
"Lee County, Virginia",22173
"Grant Parish, Louisiana",22169
"Sabine Parish, Louisiana",22155
"Limestone County, Texas",22146
"Villalba Municipio, Puerto Rico",22093
"Houston County, Texas",22066
"Anson County, North Carolina",22055
"Putnam County, Georgia",22047
"Jo Daviess County, Illinois",22035
"Martin County, North Carolina",22031
"Randolph County, Alabama",21967
"Seward County, Kansas",21964
"Henry County, Missouri",21946
"Wyandot County, Ohio",21900
"Scott County, Tennessee",21850
"Prince Edward County, Virginia",21849
"Colusa County, California",21839
"Tippah County, Mississippi",21815
"Boone County, West Virginia",21809
"Taylor County, Florida",21796
"Mitchell County, Georgia",21755
"Gage County, Nebraska",21704
"McDuffie County, Georgia",21632
"Grenada County, Mississippi",21629
